equipe RCH,equipe adverse,chaine,date,nom direct,commentaires,replay
RCH 1,Centrale,rugbyleague,2021-12-13,RCH 1_Centrale_2021-12-13,commentaires_RCH 1_Centrale_2021-12-13.csv,
RCH 2,Centrale,mauriennisezvous,2021-12-13,RCH 2_Centrale_2021-12-13,commentaires_RCH 2_Centrale_2021-12-13.csv,
